"Slug","Title","Video Url","Image","Image:alt","Content","Designer","URL","Year"
"clarity","Clarity","","assets/JzQLWPwtcLJjewAWTYPt13ayrT0.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"communication","Communication","","assets/IPm18OJEk2KperpY7r5oXTiTBWg.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"community","Community","","assets/6a9JIcCxX3Lk3vkbRSA7TJoEg.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"discord","Discord","","assets/nuRZUBk1JCyJyjgaQdT5evAq0.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"dollar-symbol","Dollar Sign","","assets/1p3R0l94aoHEFeMKujJ3FYWzF0w.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"earth","Earth","","assets/eHwOPG2hQa1HxSYaEJOeeKDcjk.png","","<p dir=""auto""><br><br></p>","Abhishek Aravind","",""
"finance","Finance","","assets/A1NXr72iFrIWntUGsx8HF6a0yQ.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"glass-panel","Glass Panel","","assets/fAfydRnfQw3TjJYwjgmiBjadmDw.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"graphs","Graphs","","assets/CACx9qh9vHku0Z3zhhyeigq6g.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"growth","Growth","","assets/J8ufrwqz8ce3ubGA56jIRbYCmsc.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"healthcare","Healthcare","","assets/uR1Z5cflfAQyqovL2JF3wU6kKs8.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"letter-a","Letter ""A""","https://files.epyc.in/videos/a.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/Cq8ISJZv7JA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
